Country,Code,Year,GDP_per_capita
Afghanistan,AFG,2000,502.37274
Afghanistan,AFG,2001,489.682
Afghanistan,AFG,2002,796.8166
Afghanistan,AFG,2003,842.8052
Afghanistan,AFG,2004,869.03925
Afghanistan,AFG,2005,964.4081
Afghanistan,AFG,2006,1057.0966
Afghanistan,AFG,2007,1259.9967
Afghanistan,AFG,2008,1319.6074
Afghanistan,AFG,2009,1557.3207
Afghanistan,AFG,2010,1627.6716
Afghanistan,AFG,2011,1792
Afghanistan,AFG,2012,1945
Afghanistan,AFG,2013,2025
Afghanistan,AFG,2014,2022
Afghanistan,AFG,2015,1928
Afghanistan,AFG,2016,1931.2438
Afghanistan,AFG,2017,1909.733
Afghanistan,AFG,2018,1888.814
Afghanistan,AFG,2019,2031.7373
Afghanistan,AFG,2020,1928.4547
Afghanistan,AFG,2021,1485.547
Afghanistan,AFG,2022,1357.9878
Algeria,DZA,2000,6834.5537
Algeria,DZA,2001,7218.2456
Algeria,DZA,2002,7814.8384
Algeria,DZA,2003,8590.178
Algeria,DZA,2004,9182.294
Algeria,DZA,2005,9969.623
Algeria,DZA,2006,10385.779
Algeria,DZA,2007,10974.742
Algeria,DZA,2008,11475.002
Algeria,DZA,2009,11907.021
Algeria,DZA,2010,12587.744
Algeria,DZA,2011,13204
Algeria,DZA,2012,13392.944
Algeria,DZA,2013,13508.265
Algeria,DZA,2014,13760.384
Algeria,DZA,2015,14007.894
Algeria,DZA,2016,14198.272
Algeria,DZA,2017,14149.915
Algeria,DZA,2018,14083.772
Algeria,DZA,2019,14000.279
Algeria,DZA,2020,13086.293
Algeria,DZA,2021,13337.262
Algeria,DZA,2022,13506.444
Argentina,ARG,2000,14368.942
Argentina,ARG,2001,13651.981
Argentina,ARG,2002,12094.772
Argentina,ARG,2003,13088.565
Argentina,ARG,2004,14183.226
Argentina,ARG,2005,15344.157
Argentina,ARG,2006,16490.473
Argentina,ARG,2007,17891.943
Argentina,ARG,2008,18520.305
Argentina,ARG,2009,17328.977
Argentina,ARG,2010,18979.992
Argentina,ARG,2011,20003
Argentina,ARG,2012,19573.963
Argentina,ARG,2013,19821.643
Argentina,ARG,2014,19112.232
Argentina,ARG,2015,19423.666
Argentina,ARG,2016,18819.643
Argentina,ARG,2017,19150.52
Argentina,ARG,2018,18460.87
Argentina,ARG,2019,17912.637
Argentina,ARG,2020,15975.839
Argentina,ARG,2021,17470.682
Argentina,ARG,2022,18292.318
Australia,AUS,2000,36603.047
Australia,AUS,2001,37275.992
Australia,AUS,2002,38567.066
Australia,AUS,2003,39523.656
Australia,AUS,2004,40887.727
Australia,AUS,2005,41904.445
Australia,AUS,2006,42650.984
Australia,AUS,2007,44033.582
Australia,AUS,2008,44421.64
Australia,AUS,2009,44686.543
Australia,AUS,2010,45400.223
Australia,AUS,2011,46132
Australia,AUS,2012,47045.13
Australia,AUS,2013,47260.953
Australia,AUS,2014,47753.848
Australia,AUS,2015,48145.53
Australia,AUS,2016,48675.137
Australia,AUS,2017,49001.902
Australia,AUS,2018,49614.387
Australia,AUS,2019,49814.67
Australia,AUS,2020,48268.945
Australia,AUS,2021,50704.934
Australia,AUS,2022,52049.43
Austria,AUT,2000,34796.258
Austria,AUT,2001,35272.223
Austria,AUT,2002,35823.586
Austria,AUT,2003,36063.12
Austria,AUT,2004,36957.113
Austria,AUT,2005,37642.76
Austria,AUT,2006,38866.848
Austria,AUT,2007,40305.273
Austria,AUT,2008,40964.793
Austria,AUT,2009,39463.656
Austria,AUT,2010,40288.348
Austria,AUT,2011,41446
Austria,AUT,2012,41540.94
Austria,AUT,2013,41301.94
Austria,AUT,2014,41250.508
Austria,AUT,2015,41255.715
Austria,AUT,2016,41545.5
Austria,AUT,2017,42216.918
Austria,AUT,2018,43032.215
Austria,AUT,2019,43488.668
Austria,AUT,2020,40503.04
Austria,AUT,2021,42184.695
Austria,AUT,2022,43792.855
Bangladesh,BGD,2000,1485.3092
Bangladesh,BGD,2001,1551.1965
Bangladesh,BGD,2002,1621.267
Bangladesh,BGD,2003,1710.7313
Bangladesh,BGD,2004,1812.6246
Bangladesh,BGD,2005,1925.6062
Bangladesh,BGD,2006,2057.6985
Bangladesh,BGD,2007,2194.4224
Bangladesh,BGD,2008,2321.0505
Bangladesh,BGD,2009,2448.887
Bangladesh,BGD,2010,2599.2083
Bangladesh,BGD,2011,2772
Bangladesh,BGD,2012,2914.0488
Bangladesh,BGD,2013,3057.4697
Bangladesh,BGD,2014,3216.8923
Bangladesh,BGD,2015,3402.3213
Bangladesh,BGD,2016,3598.5103
Bangladesh,BGD,2017,3808.8728
Bangladesh,BGD,2018,4056.6465
Bangladesh,BGD,2019,4242.7515
Bangladesh,BGD,2020,4418.9644
Bangladesh,BGD,2021,4684.003
Bangladesh,BGD,2022,4925.721
Belgium,BEL,2000,33719.77
Belgium,BEL,2001,33923.344
Belgium,BEL,2002,34419.695
Belgium,BEL,2003,34588.477
Belgium,BEL,2004,35740.35
Belgium,BEL,2005,36338.383
Belgium,BEL,2006,37051.902
Belgium,BEL,2007,38082.875
Belgium,BEL,2008,38117.348
Belgium,BEL,2009,36998.65
Belgium,BEL,2010,37739.33
Belgium,BEL,2011,38130
Belgium,BEL,2012,38173.234
Belgium,BEL,2013,38169.832
Belgium,BEL,2014,38599.426
Belgium,BEL,2015,39160.324
Belgium,BEL,2016,39456.863
Belgium,BEL,2017,39940.824
Belgium,BEL,2018,40471.914
Belgium,BEL,2019,41155.527
Belgium,BEL,2020,38763.44
Belgium,BEL,2021,40970.805
Belgium,BEL,2022,41872.395
Brazil,BRA,2001,9953.31
Brazil,BRA,2002,10245.069
Brazil,BRA,2003,10354.596
Brazil,BRA,2004,10949.66
Brazil,BRA,2005,11305.771
Brazil,BRA,2006,11766.605
Brazil,BRA,2007,12500.007
Brazil,BRA,2008,13164.012
Brazil,BRA,2009,13180.891
Brazil,BRA,2010,14215.612
Brazil,BRA,2011,14831
Brazil,BRA,2012,14985.498
Brazil,BRA,2013,15305.414
Brazil,BRA,2014,15251.89
Brazil,BRA,2015,14583.982
Brazil,BRA,2016,13990.646
Brazil,BRA,2017,14062.75
Brazil,BRA,2018,14197.55
Brazil,BRA,2019,14257.871
Brazil,BRA,2020,13685.926
Brazil,BRA,2021,14292.936
Brazil,BRA,2022,14640.076
Cambodia,KHM,2000,1659.0891
Cambodia,KHM,2001,1726.4713
Cambodia,KHM,2002,1770.9572
Cambodia,KHM,2003,1850.2043
Cambodia,KHM,2004,1965.8787
Cambodia,KHM,2005,2144.845
Cambodia,KHM,2006,2286.3848
Cambodia,KHM,2007,2422.7566
Cambodia,KHM,2008,2482.0068
Cambodia,KHM,2009,2433.3062
Cambodia,KHM,2010,2426.687
Cambodia,KHM,2011,2496
Cambodia,KHM,2012,2649.3062
Cambodia,KHM,2013,2813.6704
Cambodia,KHM,2014,2982.7285
Cambodia,KHM,2015,3149.8743
Cambodia,KHM,2016,3312.0815
Cambodia,KHM,2017,3488.5952
Cambodia,KHM,2018,3692.43
Cambodia,KHM,2019,3896.7979
Cambodia,KHM,2020,3728.1985
Cambodia,KHM,2021,3796.4844
Cambodia,KHM,2022,3944.2468
China,CHN,2000,4730.3545
China,CHN,2001,4995.1445
China,CHN,2002,5343.1123
China,CHN,2003,5649.4634
China,CHN,2004,6067.5913
China,CHN,2005,6626.592
China,CHN,2006,7271.0356
China,CHN,2007,7895.713
China,CHN,2008,8190.1123
China,CHN,2009,8734.041
China,CHN,2010,9658.419
China,CHN,2011,10221
China,CHN,2012,10946.834
China,CHN,2013,11731.295
China,CHN,2014,12515.198
China,CHN,2015,13325.432
China,CHN,2016,14138.955
China,CHN,2017,15030.447
China,CHN,2018,15977.008
China,CHN,2019,16879.54
China,CHN,2020,17225.969
China,CHN,2021,18666.605
China,CHN,2022,19238.18
Colombia,COL,2000,8496.792
Colombia,COL,2001,8528.033
Colombia,COL,2002,8630.542
Colombia,COL,2003,8855.218
Colombia,COL,2004,9211.279
Colombia,COL,2005,9524.723
Colombia,COL,2006,10039.684
Colombia,COL,2007,10602.305
Colombia,COL,2008,10846.737
Colombia,COL,2009,10894.103
Colombia,COL,2010,11191.687
Colombia,COL,2011,11788
Colombia,COL,2012,12129.81
Colombia,COL,2013,12633.481
Colombia,COL,2014,12981.565
Colombia,COL,2015,13237.291
Colombia,COL,2016,13367.445
Colombia,COL,2017,13380.643
Colombia,COL,2018,13485.702
Colombia,COL,2019,13603.993
Colombia,COL,2020,12377.135
Colombia,COL,2021,13553.399
Colombia,COL,2022,14468.964
Egypt,EGY,2000,6593.5317
Egypt,EGY,2001,6914.937
Egypt,EGY,2002,7142.6865
Egypt,EGY,2003,7365.8027
Egypt,EGY,2004,7661.86
Egypt,EGY,2005,8021.8833
Egypt,EGY,2006,8509.614
Egypt,EGY,2007,9130.598
Egypt,EGY,2008,9698.017
Egypt,EGY,2009,10159.002
Egypt,EGY,2010,10719.291
Egypt,EGY,2011,10737
Egypt,EGY,2012,10774.53
Egypt,EGY,2013,10871.145
Egypt,EGY,2014,11135.728
Egypt,EGY,2015,11312.848
Egypt,EGY,2016,11458.447
Egypt,EGY,2017,11545.594
Egypt,EGY,2018,11895.312
Egypt,EGY,2019,12300.201
Egypt,EGY,2020,12234.504
Egypt,EGY,2021,12868.262
Egypt,EGY,2022,13205.406
Finland,FIN,2000,32689.77
Finland,FIN,2001,33481.68
Finland,FIN,2002,33986.555
Finland,FIN,2003,34607.22
Finland,FIN,2004,35888.613
Finland,FIN,2005,36787.258
Finland,FIN,2006,38160.703
Finland,FIN,2007,39998.523
Finland,FIN,2008,40129.652
Finland,FIN,2009,36662.613
Finland,FIN,2010,37615.113
Finland,FIN,2011,38432
Finland,FIN,2012,37715.01
Finland,FIN,2013,37203.145
Finland,FIN,2014,36907.92
Finland,FIN,2015,36986.7
Finland,FIN,2016,37924.152
Finland,FIN,2017,39043.19
Finland,FIN,2018,39430.906
Finland,FIN,2019,39874.8
Finland,FIN,2020,38871.703
Finland,FIN,2021,39977.855
Finland,FIN,2022,40701.465
France,FRA,2000,33409.68
France,FRA,2001,33920.098
France,FRA,2002,34152.773
France,FRA,2003,34292.03
France,FRA,2004,35093.824
France,FRA,2005,35495.465
France,FRA,2006,36166.16
France,FRA,2007,36845.684
France,FRA,2008,36761.793
France,FRA,2009,35534.926
France,FRA,2010,36086.727
France,FRA,2011,36691
France,FRA,2012,36625.926
France,FRA,2013,36647.22
France,FRA,2014,36818.54
France,FRA,2015,37077.89
France,FRA,2016,37343.84
France,FRA,2017,38037.336
France,FRA,2018,38555.465
France,FRA,2019,39084.656
France,FRA,2020,35913.82
France,FRA,2021,38242.133
France,FRA,2022,39065.71
Georgia,GEO,2000,4891.664
Georgia,GEO,2001,5125.1274
Georgia,GEO,2002,5406.953
Georgia,GEO,2003,6013.0093
Georgia,GEO,2004,6342.708
Georgia,GEO,2005,6849.789
Georgia,GEO,2006,7398.0527
Georgia,GEO,2007,8300.144
Georgia,GEO,2008,8461.917
Georgia,GEO,2009,8062.084
Georgia,GEO,2010,8443.437
Georgia,GEO,2011,8946
Georgia,GEO,2012,9497.121
Georgia,GEO,2013,9856.679
Georgia,GEO,2014,10307.604
Georgia,GEO,2015,10629.594
Georgia,GEO,2016,10945.466
Georgia,GEO,2017,11479.426
Georgia,GEO,2018,12035.715
Georgia,GEO,2019,12631.664
Georgia,GEO,2020,11770.782
Georgia,GEO,2021,12994.772
Georgia,GEO,2022,14360.359
Germany,DEU,2000,33367.285
Germany,DEU,2001,34260.29
Germany,DEU,2002,34590.93
Germany,DEU,2003,34716.44
Germany,DEU,2004,35528.715
Germany,DEU,2005,36205.574
Germany,DEU,2006,38014.137
Germany,DEU,2007,39752.207
Germany,DEU,2008,40715.434
Germany,DEU,2009,38962.938
Germany,DEU,2010,41109.582
Germany,DEU,2011,43189
Germany,DEU,2012,43288.32
Germany,DEU,2013,43359.137
Germany,DEU,2014,44132.758
Germany,DEU,2015,44405.168
Germany,DEU,2016,45030.47
Germany,DEU,2017,46065.1
Germany,DEU,2018,46377.39
Germany,DEU,2019,46761.945
Germany,DEU,2020,44996.43
Germany,DEU,2021,46159.05
